SIREN,SIRET,Nom société,Enseigne,Catégorie entreprise,Forme juridique,Date création,Code NAF,Libellé NAF,Tranche effectifs,Adresse,Code postal,Ville,Site web,Email générique,Téléphone standard,Nom dirigeant,Prénom dirigeant,Fonction dirigeant,Email dirigeant,Téléphone dirigeant,LinkedIn dirigeant,LinkedIn société,Spécialité Santé,Spécialité Prévoyance,Spécialité IARD,Spécialité Auto,Spécialité RC Pro,Spécialité Entreprises,Spécialité Collectives,Spécialité Particuliers,Nb collaborateurs estimé,Niveau digitalisation,ICP Score,Priorité,Potentiel,Statut prospection,Canal,Date premier contact,Dernier contact,Relance prévue,Démo réalisée,Proposition envoyée,Closing estimé,Notes
403319270,40331927000027,,,PME,1000,1996-01-02,66.22Z,66.22Y,NN,68 RUE DES MARTYRS,22160,CALLAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403779937,40377993700032,,AXA,PME,1000,1993-01-01,66.22Z,66.22Y,02,6 RUE THIERS,56000,VANNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403909781,40390978100037,,,PME,1000,1996-01-02,66.22Z,66.22Y,03,6 RUE PAUL MAULION,56430,MAURON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403909781,40390978100052,,,PME,1000,1996-01-02,66.22Z,66.22Y,03,6 RUE SAINT THOMAS,56380,GUER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403909781,40390978100060,,,PME,1000,1996-01-02,66.22Z,66.22Y,03,4 RUE SIMONE VEIL,56800,PLOERMEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404182990,40418299000014,DENOEL ERIC ET RIVALS ALAIN,,PME,2210,1996-02-01,66.22Z,66.22Y,NN,10 RUE DE VERDUN,56170,QUIBERON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404703001,40470300100044,PR INTER DIFFUSION EUROPE,,PME,5710,1996-04-15,66.22Z,66.22Y,NN,MENHIR,29350,MOELAN SUR MER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405236720,40523672000018,,,PME,1000,1985-12-31,66.22Z,66.22Y,NN,RTE DE KERMARIA,29690,BERRIEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405242355,40524235500031,,AXA,PME,1000,1996-03-01,70.10Z,66.22Y,02,9 RUE ALAIN FERGENT,29260,LESNEVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405370883,40537088300044,,,PME,1000,1996-04-01,66.22Z,66.22Y,NN,3 RUE JEANNE MALIVEL,35700,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407785922,40778592200011,DURAN GONOT ASSURANCES,,PME,5499,1996-06-15,66.22Z,66.22Y,NN,26 RUE LAZARE CARNOT,56100,LORIENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407864297,40786429700012,,,PME,1000,1992-01-01,66.22Z,66.22Y,NN,LA PLANCHETTE,35210,PARCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407909431,40790943100014,,,PME,1000,1990-01-01,66.22Z,66.22Y,NN,1 RUE DES QUATRES ROSES,35520,LA MEZIERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
